ST_CASE,STATE_NAME,CITY_NAME,COUNTY_NAME,RUR_URB_NAME,TYP_INT_NAME,TWAY_ID,TWAY_ID2,HARM_EV_NAME,FATALS,DRUNK_DR,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,MONTH_NAME,DAY_WEEK_NAME,WEATHER_NAME,LGT_COND_NAME,LATITUDE,LONGITUD
120648,FLORIDA,PALMETTO,MANATEE,Urban,Not an Intersection,US-301 N,,Motor Vehicle in Transport,1,0,2,2,0,0,0,3,3,April,Sunday,Clear,Dark - Lighted,27.4876,-82.5629
120649,FLORIDA,SUNRISE,BROWARD,Urban,Four-Way Intersection,HIATUS RD,44TH ST,Motor Vehicle in Transport,1,0,3,3,0,0,0,4,4,April,Saturday,Clear,Dark - Lighted,26.1790,-80.2908
120650,FLORIDA,MARIANNA,JACKSON,Urban,Not an Intersection,US-90,,Pedalcyclist,1,0,1,1,0,1,1,1,1,March,Thursday,Cloudy,Daylight,30.7821,-85.2464
120651,FLORIDA,ORLANDO,ORANGE,Urban,Not an Intersection,JOHN YOUNG PKWY,,Motor Vehicle in Transport,1,1,3,3,0,0,0,5,5,April,Tuesday,Clear,Dark - Unknown Lighting,28.3725,-81.4259
120652,FLORIDA,Not Applicable,ORANGE,Urban,Not an Intersection,US-17,,Pedestrian,1,0,1,1,0,1,1,2,2,March,Sunday,Clear,Daylight,28.4973,-81.3969
120654,FLORIDA,TAMPA,HILLSBOROUGH,Urban,Not an Intersection,SR-580,HESPERIDES ST,Motor Vehicle in Transport,1,1,2,2,0,0,0,2,2,April,Friday,Cloudy,Dark - Lighted,27.9961,-82.5197
120655,FLORIDA,Not Applicable,POLK,Rural,Not an Intersection,US-92,,Motor Vehicle in Transport,1,1,2,2,0,0,0,2,2,March,Friday,Clear,Dark - Not Lighted,28.0482,-81.9222
120656,FLORIDA,CLEARWATER,PINELLAS,Urban,Not an Intersection,SR-60,,Pedestrian,1,0,1,1,0,1,1,1,1,April,Monday,Clear,Dark - Not Lighted,27.9606,-82.7098
120658,FLORIDA,HOLLYWOOD,BROWARD,Urban,Four-Way Intersection,SR-822,25TH AV,Motor Vehicle in Transport,1,1,3,2,1,0,0,3,3,March,Monday,Clear,Daylight,26.0334,-80.1574
120659,FLORIDA,Not Applicable,NASSAU,Urban,Not an Intersection,CRANDALL RD,,Rollover/Overturn,1,1,1,1,0,0,0,3,3,April,Monday,Clear,Daylight,30.6836,-81.6345
120660,FLORIDA,Not Applicable,PUTNAM,Rural,Not an Intersection,US-17,,Culvert,1,0,1,1,0,0,0,1,1,March,Thursday,Clear,Dark - Not Lighted,29.5623,-81.6581
120661,FLORIDA,Not Applicable,MARION,Rural,Not an Intersection,CR-484,,Motor Vehicle in Transport,1,0,2,2,0,0,0,3,3,March,Saturday,Cloudy,Dark - Not Lighted,29.0520,-82.2615
120662,FLORIDA,MIDWAY,GADSDEN,Rural,Not an Intersection,I-10,,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,March,Sunday,Rain,Daylight,30.4891,-84.4239
120663,FLORIDA,Not Applicable,CHARLOTTE,Rural,Not an Intersection,I-75,,Pedestrian,1,0,1,1,0,1,1,1,1,March,Monday,Clear,Dark - Not Lighted,26.8116,-81.9325
120665,FLORIDA,Not Applicable,HERNANDO,Urban,Not an Intersection,NEFF LAKE RD,,Pedestrian,1,0,1,1,0,4,4,1,1,April,Friday,Clear,Daylight,28.4818,-82.3195
120666,FLORIDA,Not Applicable,DE SOTO,Rural,T-Intersection,SR-31,CR-760A,Motor Vehicle in Transport,1,0,2,2,0,0,0,2,2,April,Monday,Clear,Dark - Lighted,27.1508,-81.8075
120667,FLORIDA,Not Applicable,SUWANNEE,Urban,T-Intersection,US-129,I-10 RAMP,Motor Vehicle in Transport,1,0,2,2,0,0,0,3,3,April,Thursday,Clear,Dawn,30.3312,-82.9619
120668,FLORIDA,Not Applicable,SEMINOLE,Urban,Not an Intersection,I-4,,Rollover/Overturn,1,0,1,1,0,0,0,2,2,March,Thursday,Cloudy,Dusk,28.7079,-81.3802
120669,FLORIDA,Not Applicable,SEMINOLE,Urban,Not an Intersection,I-4,,Guardrail Face,2,0,1,1,0,0,0,7,7,March,Saturday,Clear,Daylight,28.7198,-81.3760
120670,FLORIDA,Not Applicable,SEMINOLE,Urban,Not an Intersection,I-4,,Motor Vehicle in Transport,2,1,2,2,0,0,0,3,3,March,Sunday,Clear,Daylight,28.7950,-81.3458
